"codigo_ibg","yield","FC_m","FC2km","FC500m","PollinatorD","EUdist","ID"
3164472,23,0.215333333,0.248333333,0.274333333,0.3,68.19015234,"other municipalities"
3164506,11.66666667,0.324,0.272333333,0.264666667,0.3,106.9372745,"other municipalities"
3165008,26.00555556,0.079,0.074333333,0.088333333,0.3,220.9565532,"other municipalities"
3165206,17.66666667,0.103333333,0.074666667,0.068,0.3,249.5713432,"study area"
3165701,21.98888889,0.194666667,0.218333333,0.175666667,0.3,159.3110114,"other municipalities"
3165800,22,0.144333333,0.176666667,0.159,0.3,172.599209,"other municipalities"
3166006,25,0.303333333,0.342333333,0.335,0.3,85.35257447,"other municipalities"
3166204,25,0.094333333,0.142333333,0.188,0.3,117.2116175,"other municipalities"
3166303,20.66666667,0.294333333,0.284333333,0.228666667,0.3,112.1311376,"other municipalities"
3166907,23.33333333,0.072666667,0.074333333,0.075,0.3,307.8720489,"study area"
3167400,18,0.096666667,0.109,0.117333333,0.3,187.2826246,"study area"
3167608,27.33333333,0.331666667,0.327,0.307666667,0.3,74.56431029,"other municipalities"
3167806,24,0.082333333,0.069666667,0.127333333,0.3,189.0068203,"study area"
3168051,20,0.147,0.23,0.234333333,1,163.5537657,"other municipalities"
3168408,12.87777778,0.080666667,0.092,0.151333333,0.71,215.9242218,"other municipalities"
3168507,18.66666667,0.283666667,0.291333333,0.237,0.3,126.511643,"other municipalities"
3168606,12.36111111,0.228,0.236666667,0.221,0.3,128.8526815,"other municipalities"
3169059,23,0.062,0.065,0.044666667,0.3,260.2624678,"other municipalities"
3169208,18,0.176,0.191,0.188333333,0.301,173.8919847,"other municipalities"
3169307,19,0.061666667,0.063,0.059333333,0.3,270.44001,"other municipalities"
3169406,24.5,0.070333333,0.062666667,0.058,0.3,266.0858683,"other municipalities"
3169802,18.66666667,0.103666667,0.137,0.142,0.3,159.1459114,"study area"
3169901,15,0.114666667,0.193333333,0.135,0.3,155.1802041,"other municipalities"
3170057,20.66666667,0.242,0.304,0.309,0.3,60.2042504,"other municipalities"
3170503,11.11666667,0.129333333,0.146333333,0.104333333,0.3,148.0119601,"other municipalities"
3170578,27.65,0.1825,0.2095,0.279,0.3,96.73772344,"other municipalities"
3170701,21.66666667,0.069,0.077,0.072666667,0.3,255.7335809,"other municipalities"
3171154,16,0.271333333,0.276333333,0.263,0.3,86.27539415,"other municipalities"
3171303,23,0.263,0.259333333,0.206666667,0.3,143.1360873,"other municipalities"
3171402,26.04444444,0.142333333,0.158,0.133333333,0.3,147.9776473,"other municipalities"
3171709,20,0.163,0.119333333,0.112666667,0.3,204.8384937,"other municipalities"
